2017/10/06 15:00:21.338 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:01:00.611 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 15:01:08.724 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.CommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:02:15.343 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 15:02:23.541 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:02:58.694 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 15:02:58.710 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:03:38.313 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 15:03:42.224 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 15:03:47.969 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 15:03:55.033 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:06:39.308 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:06:50.783 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:20:38.831 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:21:04.938 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:21:10.461 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:21:27.360 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:24:37.990 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:32:38.385 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
2017/10/06 16:32:59.589 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Fin de llamada
2017/10/06 16:33:02.550 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.OpenCommandDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] Inicio de llamada
